reviewId,reviewer,reviewedAt,decision,evidenceSourceName,evidenceSourceUrl,evidenceLicense,evidenceRetrievedAt,evidenceNotes,proposedAction
RGR-sumida-river-13,,,NOT_REVIEWED,,,,,,
RGR-sumida-river-14,,,NOT_REVIEWED,,,,,,
RGR-asakusa-odaiba-direct-11,,,NOT_REVIEWED,,,,,,
RGR-asakusa-odaiba-direct-12,,,NOT_REVIEWED,,,,,,
RGR-hinode-odaiba-3,,,NOT_REVIEWED,,,,,,
RGR-hinode-odaiba-4,,,NOT_REVIEWED,,,,,,
RGR-hamarikyu-6,,,NOT_REVIEWED,,,,,,
RGR-hamarikyu-7,,,NOT_REVIEWED,,,,,,
RGR-mizube-line-1,,,NOT_REVIEWED,,,,,,
RGR-mizube-line-2,,,NOT_REVIEWED,,,,,,
RGR-mizube-line-9,,,NOT_REVIEWED,,,,,,
RGR-mizube-line-10,,,NOT_REVIEWED,,,,,,
RGR-mizube-line-11,,,NOT_REVIEWED,,,,,,
